 Both 128K ROMs loaded successfully!
Screen RAM initialized with white paper, black ink
=== Emulator started - ROM loaded - CPU Reset ===
[55] PC=0x0004 A=0x7F HL=0x0000 BC=0x691E DE=0x0000 SP=0xFFFF OP=0x0B
[56] PC=0x0005 A=0x7F HL=0x0000 BC=0x691D DE=0x0000 SP=0xFFFF OP=0x78
[57] PC=0x0006 A=0x69 HL=0x0000 BC=0x691D DE=0x0000 SP=0xFFFF OP=0xB1
[58] PC=0x0007 A=0x7D HL=0x0000 BC=0x691D DE=0x0000 SP=0xFFFF OP=0x20
[59] PC=0x0004 A=0x7D HL=0x0000 BC=0x691D DE=0x0000 SP=0xFFFF OP=0x0B
[60] PC=0x0005 A=0x7D HL=0x0000 BC=0x691C DE=0x0000 SP=0xFFFF OP=0x78
[61] PC=0x0006 A=0x69 HL=0x0000 BC=0x691C DE=0x0000 SP=0xFFFF OP=0xB1
[62] PC=0x0007 A=0x7D HL=0x0000 BC=0x691C DE=0x0000 SP=0xFFFF OP=0x20
[63] PC=0x0004 A=0x7D HL=0x0000 BC=0x691C DE=0x0000 SP=0xFFFF OP=0x0B
[64] PC=0x0005 A=0x7D HL=0x0000 BC=0x691B DE=0x0000 SP=0xFFFF OP=0x78
[65] PC=0x0006 A=0x69 HL=0x0000 BC=0x691B DE=0x0000 SP=0xFFFF OP=0xB1
[66] PC=0x0007 A=0x7B HL=0x0000 BC=0x691B DE=0x0000 SP=0xFFFF OP=0x20
[67] PC=0x0004 A=0x7B HL=0x0000 BC=0x691B DE=0x0000 SP=0xFFFF OP=0x0B
[68] PC=0x0005 A=0x7B HL=0x0000 BC=0x691A DE=0x0000 SP=0xFFFF OP=0x78
[69] PC=0x0006 A=0x69 HL=0x0000 BC=0x691A DE=0x0000 SP=0xFFFF OP=0xB1
[70] PC=0x0007 A=0x7B HL=0x0000 BC=0x691A DE=0x0000 SP=0xFFFF OP=0x20
[71] PC=0x0004 A=0x7B HL=0x0000 BC=0x691A DE=0x0000 SP=0xFFFF OP=0x0B
