 Both 128K ROMs loaded successfully!
Screen RAM initialized with white paper, black ink
=== Emulator started - ROM loaded - CPU Reset ===
[862] PC=0x0007 A=0x7C HL=0x0000 BC=0x6854 DE=0x0000 SP=0xFFFF OP=0x20
[863] PC=0x0004 A=0x7C HL=0x0000 BC=0x6854 DE=0x0000 SP=0xFFFF OP=0x0B
[864] PC=0x0005 A=0x7C HL=0x0000 BC=0x6853 DE=0x0000 SP=0xFFFF OP=0x78
[865] PC=0x0006 A=0x68 HL=0x0000 BC=0x6853 DE=0x0000 SP=0xFFFF OP=0xB1
[866] PC=0x0007 A=0x7B HL=0x0000 BC=0x6853 DE=0x0000 SP=0xFFFF OP=0x20
[867] PC=0x0004 A=0x7B HL=0x0000 BC=0x6853 DE=0x0000 SP=0xFFFF OP=0x0B
[868] PC=0x0005 A=0x7B HL=0x0000 BC=0x6852 DE=0x0000 SP=0xFFFF OP=0x78
[869] PC=0x0006 A=0x68 HL=0x0000 BC=0x6852 DE=0x0000 SP=0xFFFF OP=0xB1
[870] PC=0x0007 A=0x7A HL=0x0000 BC=0x6852 DE=0x0000 SP=0xFFFF OP=0x20
[871] PC=0x0004 A=0x7A HL=0x0000 BC=0x6852 DE=0x0000 SP=0xFFFF OP=0x0B
[872] PC=0x0005 A=0x7A HL=0x0000 BC=0x6851 DE=0x0000 SP=0xFFFF OP=0x78
[873] PC=0x0006 A=0x68 HL=0x0000 BC=0x6851 DE=0x0000 SP=0xFFFF OP=0xB1
[874] PC=0x0007 A=0x79 HL=0x0000 BC=0x6851 DE=0x0000 SP=0xFFFF OP=0x20
[875] PC=0x0004 A=0x79 HL=0x0000 BC=0x6851 DE=0x0000 SP=0xFFFF OP=0x0B
[876] PC=0x0005 A=0x79 HL=0x0000 BC=0x6850 DE=0x0000 SP=0xFFFF OP=0x78
[877] PC=0x0006 A=0x68 HL=0x0000 BC=0x6850 DE=0x0000 SP=0xFFFF OP=0xB1
[878] PC=0x0007 A=0x78 HL=0x0000 BC=0x6850 DE=0x0000 SP=0xFFFF OP=0x20
[879] PC=0x0004 A=0x78 HL=0x0000 BC=0x6850 DE=0x0000 SP=0xFFFF OP=0x0B
[880] PC=0x0005 A=0x78 HL=0x0000 BC=0x684F DE=0x0000 SP=0xFFFF OP=0x78
[881] PC=0x0006 A=0x68 HL=0x0000 BC=0x684F DE=0x0000 SP=0xFFFF OP=0xB1
[882] PC=0x0007 A=0x6F HL=0x0000 BC=0x684F DE=0x0000 SP=0xFFFF OP=0x20
[883] PC=0x0004 A=0x6F HL=0x0000 BC=0x684F DE=0x0000 SP=0xFFFF OP=0x0B
[884] PC=0x0005 A=0x6F HL=0x0000 BC=0x684E DE=0x0000 SP=0xFFFF OP=0x78
[885] PC=0x0006 A=0x68 HL=0x0000 BC=0x684E DE=0x0000 SP=0xFFFF OP=0xB1
[886] PC=0x0007 A=0x6E HL=0x0000 BC=0x684E DE=0x0000 SP=0xFFFF OP=0x20
[887] PC=0x0004 A=0x6E HL=0x0000 BC=0x684E DE=0x0000 SP=0xFFFF OP=0x0B
[888] PC=0x0005 A=0x6E HL=0x0000 BC=0x684D DE=0x0000 SP=0xFFFF OP=0x78
[889] PC=0x0006 A=0x68 HL=0x0000 BC=0x684D DE=0x0000 SP=0xFFFF OP=0xB1
[890] PC=0x0007 A=0x6D HL=0x0000 BC=0x684D DE=0x0000 SP=0xFFFF OP=0x20
[891] PC=0x0004 A=0x6D HL=0x0000 BC=0x684D DE=0x0000 SP=0xFFFF OP=0x0B
[892] PC=0x0005 A=0x6D HL=0x0000 BC=0x684C DE=0x0000 SP=0xFFFF OP=0x78
[893] PC=0x0006 A=0x68 HL=0x0000 BC=0x684C DE=0x0000 SP=0xFFFF OP=0xB1
[894] PC=0x0007 A=0x6C HL=0x0000 BC=0x684C DE=0x0000 SP=0xFFFF OP=0x20
[895] PC=0x0004 A=0x6C HL=0x0000 BC=0x684C DE=0x0000 SP=0xFFFF OP=0x0B
[896] PC=0x0005 A=0x6C HL=0x0000 BC=0x684B DE=0x0000 SP=0xFFFF OP=0x78
[897] PC=0x0006 A=0x68 HL=0x0000 BC=0x684B DE=0x0000 SP=0xFFFF OP=0xB1
[898] PC=0x0007 A=0x6B HL=0x0000 BC=0x684B DE=0x0000 SP=0xFFFF OP=0x20
[899] PC=0x0004 A=0x6B HL=0x0000 BC=0x684B DE=0x0000 SP=0xFFFF OP=0x0B
[900] PC=0x0005 A=0x6B HL=0x0000 BC=0x684A DE=0x0000 SP=0xFFFF OP=0x78
[901] PC=0x0006 A=0x68 HL=0x0000 BC=0x684A DE=0x0000 SP=0xFFFF OP=0xB1
[902] PC=0x0007 A=0x6A HL=0x0000 BC=0x684A DE=0x0000 SP=0xFFFF OP=0x20
[903] PC=0x0004 A=0x6A HL=0x0000 BC=0x684A DE=0x0000 SP=0xFFFF OP=0x0B
[904] PC=0x0005 A=0x6A HL=0x0000 BC=0x6849 DE=0x0000 SP=0xFFFF OP=0x78
[905] PC=0x0006 A=0x68 HL=0x0000 BC=0x6849 DE=0x0000 SP=0xFFFF OP=0xB1
[906] PC=0x0007 A=0x69 HL=0x0000 BC=0x6849 DE=0x0000 SP=0xFFFF OP=0x20
[907] PC=0x0004 A=0x69 HL=0x0000 BC=0x6849 DE=0x0000 SP=0xFFFF OP=0x0B
[908] PC=0x0005 A=0x69 HL=0x0000 BC=0x6848 DE=0x0000 SP=0xFFFF OP=0x78
[909] PC=0x0006 A=0x68 HL=0x0000 BC=0x6848 DE=0x0000 SP=0xFFFF OP=0xB1
[910] PC=0x0007 A=0x68 HL=0x0000 BC=0x6848 DE=0x0000 SP=0xFFFF OP=0x20
[911] PC=0x0004 A=0x68 HL=0x0000 BC=0x6848 DE=0x0000 SP=0xFFFF OP=0x0B
[912] PC=0x0005 A=0x68 HL=0x0000 BC=0x6847 DE=0x0000 SP=0xFFFF OP=0x78
[913] PC=0x0006 A=0x68 HL=0x0000 BC=0x6847 DE=0x0000 SP=0xFFFF OP=0xB1
[914] PC=0x0007 A=0x6F HL=0x0000 BC=0x6847 DE=0x0000 SP=0xFFFF OP=0x20
[915] PC=0x0004 A=0x6F HL=0x0000 BC=0x6847 DE=0x0000 SP=0xFFFF OP=0x0B
[916] PC=0x0005 A=0x6F HL=0x0000 BC=0x6846 DE=0x0000 SP=0xFFFF OP=0x78
[917] PC=0x0006 A=0x68 HL=0x0000 BC=0x6846 DE=0x0000 SP=0xFFFF OP=0xB1
[918] PC=0x0007 A=0x6E HL=0x0000 BC=0x6846 DE=0x0000 SP=0xFFFF OP=0x20
[919] PC=0x0004 A=0x6E HL=0x0000 BC=0x6846 DE=0x0000 SP=0xFFFF OP=0x0B
[920] PC=0x0005 A=0x6E HL=0x0000 BC=0x6845 DE=0x0000 SP=0xFFFF OP=0x78
[921] PC=0x0006 A=0x68 HL=0x0000 BC=0x6845 DE=0x0000 SP=0xFFFF OP=0xB1
[922] PC=0x0007 A=0x6D HL=0x0000 BC=0x6845 DE=0x0000 SP=0xFFFF OP=0x20
[923] PC=0x0004 A=0x6D HL=0x0000 BC=0x6845 DE=0x0000 SP=0xFFFF OP=0x0B
[924] PC=0x0005 A=0x6D HL=0x0000 BC=0x6844 DE=0x0000 SP=0xFFFF OP=0x78
[925] PC=0x0006 A=0x68 HL=0x0000 BC=0x6844 DE=0x0000 SP=0xFFFF OP=0xB1
[926] PC=0x0007 A=0x6C HL=0x0000 BC=0x6844 DE=0x0000 SP=0xFFFF OP=0x20
[927] PC=0x0004 A=0x6C HL=0x0000 BC=0x6844 DE=0x0000 SP=0xFFFF OP=0x0B
[928] PC=0x0005 A=0x6C HL=0x0000 BC=0x6843 DE=0x0000 SP=0xFFFF OP=0x78
[929] PC=0x0006 A=0x68 HL=0x0000 BC=0x6843 DE=0x0000 SP=0xFFFF OP=0xB1
[930] PC=0x0007 A=0x6B HL=0x0000 BC=0x6843 DE=0x0000 SP=0xFFFF OP=0x20
[931] PC=0x0004 A=0x6B HL=0x0000 BC=0x6843 DE=0x0000 SP=0xFFFF OP=0x0B
[932] PC=0x0005 A=0x6B HL=0x0000 BC=0x6842 DE=0x0000 SP=0xFFFF OP=0x78
[933] PC=0x0006 A=0x68 HL=0x0000 BC=0x6842 DE=0x0000 SP=0xFFFF OP=0xB1
[934] PC=0x0007 A=0x6A HL=0x0000 BC=0x6842 DE=0x0000 SP=0xFFFF OP=0x20
[935] PC=0x0004 A=0x6A HL=0x0000 BC=0x6842 DE=0x0000 SP=0xFFFF OP=0x0B
[936] PC=0x0005 A=0x6A HL=0x0000 BC=0x6841 DE=0x0000 SP=0xFFFF OP=0x78
[937] PC=0x0006 A=0x68 HL=0x0000 BC=0x6841 DE=0x0000 SP=0xFFFF OP=0xB1
[938] PC=0x0007 A=0x69 HL=0x0000 BC=0x6841 DE=0x0000 SP=0xFFFF OP=0x20
[939] PC=0x0004 A=0x69 HL=0x0000 BC=0x6841 DE=0x0000 SP=0xFFFF OP=0x0B
[940] PC=0x0005 A=0x69 HL=0x0000 BC=0x6840 DE=0x0000 SP=0xFFFF OP=0x78
[941] PC=0x0006 A=0x68 HL=0x0000 BC=0x6840 DE=0x0000 SP=0xFFFF OP=0xB1
[942] PC=0x0007 A=0x68 HL=0x0000 BC=0x6840 DE=0x0000 SP=0xFFFF OP=0x20
[943] PC=0x0004 A=0x68 HL=0x0000 BC=0x6840 DE=0x0000 SP=0xFFFF OP=0x0B
[944] PC=0x0005 A=0x68 HL=0x0000 BC=0x683F DE=0x0000 SP=0xFFFF OP=0x78
[945] PC=0x0006 A=0x68 HL=0x0000 BC=0x683F DE=0x0000 SP=0xFFFF OP=0xB1
[946] PC=0x0007 A=0x7F HL=0x0000 BC=0x683F DE=0x0000 SP=0xFFFF OP=0x20
[947] PC=0x0004 A=0x7F HL=0x0000 BC=0x683F DE=0x0000 SP=0xFFFF OP=0x0B
[948] PC=0x0005 A=0x7F HL=0x0000 BC=0x683E DE=0x0000 SP=0xFFFF OP=0x78
[949] PC=0x0006 A=0x68 HL=0x0000 BC=0x683E DE=0x0000 SP=0xFFFF OP=0xB1
[950] PC=0x0007 A=0x7E HL=0x0000 BC=0x683E DE=0x0000 SP=0xFFFF OP=0x20
[951] PC=0x0004 A=0x7E HL=0x0000 BC=0x683E DE=0x0000 SP=0xFFFF OP=0x0B
[952] PC=0x0005 A=0x7E HL=0x0000 BC=0x683D DE=0x0000 SP=0xFFFF OP=0x78
[953] PC=0x0006 A=0x68 HL=0x0000 BC=0x683D DE=0x0000 SP=0xFFFF OP=0xB1
[954] PC=0x0007 A=0x7D HL=0x0000 BC=0x683D DE=0x0000 SP=0xFFFF OP=0x20
[955] PC=0x0004 A=0x7D HL=0x0000 BC=0x683D DE=0x0000 SP=0xFFFF OP=0x0B
[956] PC=0x0005 A=0x7D HL=0x0000 BC=0x683C DE=0x0000 SP=0xFFFF OP=0x78
[957] PC=0x0006 A=0x68 HL=0x0000 BC=0x683C DE=0x0000 SP=0xFFFF OP=0xB1
[958] PC=0x0007 A=0x7C HL=0x0000 BC=0x683C DE=0x0000 SP=0xFFFF OP=0x20
[959] PC=0x0004 A=0x7C HL=0x0000 BC=0x683C DE=0x0000 SP=0xFFFF OP=0x0B
[960] PC=0x0005 A=0x7C HL=0x0000 BC=0x683B DE=0x0000 SP=0xFFFF OP=0x78
[961] PC=0x0006 A=0x68 HL=0x0000 BC=0x683B DE=0x0000 SP=0xFFFF OP=0xB1
[962] PC=0x0007 A=0x7B HL=0x0000 BC=0x683B DE=0x0000 SP=0xFFFF OP=0x20
[963] PC=0x0004 A=0x7B HL=0x0000 BC=0x683B DE=0x0000 SP=0xFFFF OP=0x0B
[964] PC=0x0005 A=0x7B HL=0x0000 BC=0x683A DE=0x0000 SP=0xFFFF OP=0x78
[965] PC=0x0006 A=0x68 HL=0x0000 BC=0x683A DE=0x0000 SP=0xFFFF OP=0xB1
[966] PC=0x0007 A=0x7A HL=0x0000 BC=0x683A DE=0x0000 SP=0xFFFF OP=0x20
[967] PC=0x0004 A=0x7A HL=0x0000 BC=0x683A DE=0x0000 SP=0xFFFF OP=0x0B
[968] PC=0x0005 A=0x7A HL=0x0000 BC=0x6839 DE=0x0000 SP=0xFFFF OP=0x78
[969] PC=0x0006 A=0x68 HL=0x0000 BC=0x6839 DE=0x0000 SP=0xFFFF OP=0xB1
[970] PC=0x0007 A=0x79 HL=0x0000 BC=0x6839 DE=0x0000 SP=0xFFFF OP=0x20
[971] PC=0x0004 A=0x79 HL=0x0000 BC=0x6839 DE=0x0000 SP=0xFFFF OP=0x0B
[972] PC=0x0005 A=0x79 HL=0x0000 BC=0x6838 DE=0x0000 SP=0xFFFF OP=0x78
[973] PC=0x0006 A=0x68 HL=0x0000 BC=0x6838 DE=0x0000 SP=0xFFFF OP=0xB1
[974] PC=0x0007 A=0x78 HL=0x0000 BC=0x6838 DE=0x0000 SP=0xFFFF OP=0x20
[975] PC=0x0004 A=0x78 HL=0x0000 BC=0x6838 DE=0x0000 SP=0xFFFF OP=0x0B
[976] PC=0x0005 A=0x78 HL=0x0000 BC=0x6837 DE=0x0000 SP=0xFFFF OP=0x78
[977] PC=0x0006 A=0x68 HL=0x0000 BC=0x6837 DE=0x0000 SP=0xFFFF OP=0xB1
[978] PC=0x0007 A=0x7F HL=0x0000 BC=0x6837 DE=0x0000 SP=0xFFFF OP=0x20
[979] PC=0x0004 A=0x7F HL=0x0000 BC=0x6837 DE=0x0000 SP=0xFFFF OP=0x0B
[980] PC=0x0005 A=0x7F HL=0x0000 BC=0x6836 DE=0x0000 SP=0xFFFF OP=0x78
[981] PC=0x0006 A=0x68 HL=0x0000 BC=0x6836 DE=0x0000 SP=0xFFFF OP=0xB1
[982] PC=0x0007 A=0x7E HL=0x0000 BC=0x6836 DE=0x0000 SP=0xFFFF OP=0x20
[983] PC=0x0004 A=0x7E HL=0x0000 BC=0x6836 DE=0x0000 SP=0xFFFF OP=0x0B
[984] PC=0x0005 A=0x7E HL=0x0000 BC=0x6835 DE=0x0000 SP=0xFFFF OP=0x78
[985] PC=0x0006 A=0x68 HL=0x0000 BC=0x6835 DE=0x0000 SP=0xFFFF OP=0xB1
[986] PC=0x0007 A=0x7D HL=0x0000 BC=0x6835 DE=0x0000 SP=0xFFFF OP=0x20
[987] PC=0x0004 A=0x7D HL=0x0000 BC=0x6835 DE=0x0000 SP=0xFFFF OP=0x0B
[988] PC=0x0005 A=0x7D HL=0x0000 BC=0x6834 DE=0x0000 SP=0xFFFF OP=0x78
[989] PC=0x0006 A=0x68 HL=0x0000 BC=0x6834 DE=0x0000 SP=0xFFFF OP=0xB1
[990] PC=0x0007 A=0x7C HL=0x0000 BC=0x6834 DE=0x0000 SP=0xFFFF OP=0x20
[991] PC=0x0004 A=0x7C HL=0x0000 BC=0x6834 DE=0x0000 SP=0xFFFF OP=0x0B
[992] PC=0x0005 A=0x7C HL=0x0000 BC=0x6833 DE=0x0000 SP=0xFFFF OP=0x78
[993] PC=0x0006 A=0x68 HL=0x0000 BC=0x6833 DE=0x0000 SP=0xFFFF OP=0xB1
[994] PC=0x0007 A=0x7B HL=0x0000 BC=0x6833 DE=0x0000 SP=0xFFFF OP=0x20
[995] PC=0x0004 A=0x7B HL=0x0000 BC=0x6833 DE=0x0000 SP=0xFFFF OP=0x0B
[996] PC=0x0005 A=0x7B HL=0x0000 BC=0x6832 DE=0x0000 SP=0xFFFF OP=0x78
[997] PC=0x0006 A=0x68 HL=0x0000 BC=0x6832 DE=0x0000 SP=0xFFFF OP=0xB1
[998] PC=0x0007 A=0x7A HL=0x0000 BC=0x6832 DE=0x0000 SP=0xFFFF OP=0x20
[999] PC=0x0004 A=0x7A HL=0x0000 BC=0x6832 DE=0x0000 SP=0xFFFF OP=0x0B
[1000] PC=0x0005 A=0x7A HL=0x0000 BC=0x6831 DE=0x0000 SP=0xFFFF OP=0x78
[7FFD] RAM=7 SCREEN=5 ROM=0
WRT: Addr=0xC000 Bank=7 Val=0xFF
WRT: Addr=0xC000 Bank=7 Val=0x00
WRT: Addr=0xC001 Bank=7 Val=0x00
WRT: Addr=0xC002 Bank=7 Val=0x00
WRT: Addr=0xC003 Bank=7 Val=0x00
WRT: Addr=0xC004 Bank=7 Val=0x00
WRT: Addr=0xC005 Bank=7 Val=0x00
WRT: Addr=0xC006 Bank=7 Val=0x00
WRT: Addr=0xC007 Bank=7 Val=0x00
WRT: Addr=0xC008 Bank=7 Val=0x00
WRT: Addr=0xC009 Bank=7 Val=0x00
WRT: Addr=0xC00A Bank=7 Val=0x00
WRT: Addr=0xC00B Bank=7 Val=0x00
WRT: Addr=0xC00C Bank=7 Val=0x00
WRT: Addr=0xC00D Bank=7 Val=0x00
WRT: Addr=0xC00E Bank=7 Val=0x00
WRT: Addr=0xC00F Bank=7 Val=0x00
WRT: Addr=0xC010 Bank=7 Val=0x00
WRT: Addr=0xC011 Bank=7 Val=0x00
WRT: Addr=0xC012 Bank=7 Val=0x00
WRT: Addr=0xC013 Bank=7 Val=0x00
WRT: Addr=0xC014 Bank=7 Val=0x00
WRT: Addr=0xC015 Bank=7 Val=0x00
WRT: Addr=0xC016 Bank=7 Val=0x00
WRT: Addr=0xC017 Bank=7 Val=0x00
WRT: Addr=0xC018 Bank=7 Val=0x00
WRT: Addr=0xC019 Bank=7 Val=0x00
WRT: Addr=0xC01A Bank=7 Val=0x00
WRT: Addr=0xC01B Bank=7 Val=0x00
WRT: Addr=0xC01C Bank=7 Val=0x00
WRT: Addr=0xC01D Bank=7 Val=0x00
WRT: Addr=0xC01E Bank=7 Val=0x00
WRT: Addr=0xC01F Bank=7 Val=0x00
WRT: Addr=0xC020 Bank=7 Val=0x00
WRT: Addr=0xC021 Bank=7 Val=0x00
WRT: Addr=0xC022 Bank=7 Val=0x00
WRT: Addr=0xC023 Bank=7 Val=0x00
WRT: Addr=0xC024 Bank=7 Val=0x00
WRT: Addr=0xC025 Bank=7 Val=0x00
WRT: Addr=0xC026 Bank=7 Val=0x00
WRT: Addr=0xC027 Bank=7 Val=0x00
WRT: Addr=0xC028 Bank=7 Val=0x00
WRT: Addr=0xC029 Bank=7 Val=0x00
WRT: Addr=0xC02A Bank=7 Val=0x00
WRT: Addr=0xC02B Bank=7 Val=0x00
WRT: Addr=0xC02C Bank=7 Val=0x00
WRT: Addr=0xC02D Bank=7 Val=0x00
WRT: Addr=0xC02E Bank=7 Val=0x00
WRT: Addr=0xC02F Bank=7 Val=0x00
WRT: Addr=0xC030 Bank=7 Val=0x00
WRT: Addr=0xC031 Bank=7 Val=0x00
WRT: Addr=0xC032 Bank=7 Val=0x00
WRT: Addr=0xC033 Bank=7 Val=0x00
WRT: Addr=0xC034 Bank=7 Val=0x00
WRT: Addr=0xC035 Bank=7 Val=0x00
WRT: Addr=0xC036 Bank=7 Val=0x00
WRT: Addr=0xC037 Bank=7 Val=0x00
WRT: Addr=0xC038 Bank=7 Val=0x00
WRT: Addr=0xC039 Bank=7 Val=0x00
WRT: Addr=0xC03A Bank=7 Val=0x00
WRT: Addr=0xC03B Bank=7 Val=0x00
WRT: Addr=0xC03C Bank=7 Val=0x00
WRT: Addr=0xC03D Bank=7 Val=0x00
WRT: Addr=0xC03E Bank=7 Val=0x00
WRT: Addr=0xC03F Bank=7 Val=0x00
WRT: Addr=0xC040 Bank=7 Val=0x00
WRT: Addr=0xC041 Bank=7 Val=0x00
WRT: Addr=0xC042 Bank=7 Val=0x00
WRT: Addr=0xC043 Bank=7 Val=0x00
WRT: Addr=0xC044 Bank=7 Val=0x00
WRT: Addr=0xC045 Bank=7 Val=0x00
WRT: Addr=0xC046 Bank=7 Val=0x00
WRT: Addr=0xC047 Bank=7 Val=0x00
WRT: Addr=0xC048 Bank=7 Val=0x00
WRT: Addr=0xC049 Bank=7 Val=0x00
WRT: Addr=0xC04A Bank=7 Val=0x00
WRT: Addr=0xC04B Bank=7 Val=0x00
WRT: Addr=0xC04C Bank=7 Val=0x00
WRT: Addr=0xC04D Bank=7 Val=0x00
WRT: Addr=0xC04E Bank=7 Val=0x00
WRT: Addr=0xC04F Bank=7 Val=0x00
WRT: Addr=0xC050 Bank=7 Val=0x00
WRT: Addr=0xC051 Bank=7 Val=0x00
WRT: Addr=0xC052 Bank=7 Val=0x00
WRT: Addr=0xC053 Bank=7 Val=0x00
WRT: Addr=0xC054 Bank=7 Val=0x00
WRT: Addr=0xC055 Bank=7 Val=0x00
WRT: Addr=0xC056 Bank=7 Val=0x00
WRT: Addr=0xC057 Bank=7 Val=0x00
WRT: Addr=0xC058 Bank=7 Val=0x00
WRT: Addr=0xC059 Bank=7 Val=0x00
WRT: Addr=0xC05A Bank=7 Val=0x00
WRT: Addr=0xC05B Bank=7 Val=0x00
WRT: Addr=0xC05C Bank=7 Val=0x00
WRT: Addr=0xC05D Bank=7 Val=0x00
WRT: Addr=0xC05E Bank=7 Val=0x00
WRT: Addr=0xC05F Bank=7 Val=0x00
WRT: Addr=0xC060 Bank=7 Val=0x00
WRT: Addr=0xC061 Bank=7 Val=0x00
WRT: Addr=0xC062 Bank=7 Val=0x00
[110000] PC=0x00E5 A=0x00 HL=0xC8EF BC=0x3710 DE=0xC8F0 SP=0xFFFF OP=0xED
[7FFD] RAM=7 SCREEN=5 ROM=0
[130000] PC=0x5B43 A=0x9A HL=0x0038 BC=0x7F7F DE=0x5B72 SP=0x5AE5 OP=0xFD
[140000] PC=0x5B08 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BB0 SP=0x5A81 OP=0x7F
[150000] PC=0x5A9B A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BEC SP=0x5A0D OP=0x38
[160000] PC=0x59CF A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B20 SP=0x59A5 OP=0x38
[170000] PC=0x5985 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B4E SP=0x5949 OP=0x38
[180000] PC=0x590F A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B78 SP=0x58F5 OP=0x38
[190000] PC=0x5B77 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B9E SP=0x58A5 OP=0xFD
[200000] PC=0x5AD5 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BC6 SP=0x5859 OP=0x38
[210000] PC=0x59BD A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BEE SP=0x5809 OP=0x38
[220000] PC=0x5BCE A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B14 SP=0x57B9 OP=0x07
[230000] PC=0x5B42 A=0x9A HL=0x0038 BC=0x7F7F DE=0x5B3C SP=0x5769 OP=0x7F
[240000] PC=0x5A6B A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B64 SP=0x571D OP=0x38
[250000] PC=0x5953 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B8C SP=0x56CD OP=0x38
[260000] PC=0x5B99 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BB2 SP=0x567D OP=0xA8
Frame 50: PC: 0x5A47 SCREEN=5 ROM=0 PAGED=7
Screen @4000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[270000] PC=0x5B0D A=0x9A HL=0x0038 BC=0x7F7F DE=0x5BDA SP=0x562D OP=0xA8
[280000] PC=0x5A01 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B02 SP=0x55E1 OP=0x38
[290000] PC=0x5BF1 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B28 SP=0x5591 OP=0x00
[300000] PC=0x5B64 A=0x9A HL=0x0038 BC=0x7F7F DE=0x5B50 SP=0x5541 OP=0x7F
[310000] PC=0x5AAF A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B78 SP=0x54F5 OP=0x38
[320000] PC=0x5997 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BA0 SP=0x54A5 OP=0x38
[330000] PC=0x5BBB A=0x9A HL=0x0038 BC=0x7F7F DE=0x5BC6 SP=0x5455 OP=0xFD
[340000] PC=0x5B2F A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BEE SP=0x5405 OP=0xFD
[350000] PC=0x5A45 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B16 SP=0x53B9 OP=0x38
[360000] PC=0x592D A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B3E SP=0x5369 OP=0x38
[370000] PC=0x5B86 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B64 SP=0x5319 OP=0x07
[380000] PC=0x5AF3 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B8C SP=0x52CD OP=0x38
[390000] PC=0x59DB A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BB4 SP=0x527D OP=0x38
[400000] PC=0x5BDD A=0x9A HL=0x0038 BC=0x7F7F DE=0x5BDA SP=0x522D OP=0xA8
[410000] PC=0x5B51 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B02 SP=0x51DD OP=0xA8
[420000] PC=0x5A89 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B2A SP=0x5191 OP=0x38
[430000] PC=0x5971 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B52 SP=0x5141 OP=0x38
[440000] PC=0x5BA8 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B78 SP=0x50F1 OP=0x7F
[450000] PC=0x5B1C A=0x9A HL=0x0038 BC=0x7F7F DE=0x5BA0 SP=0x50A1 OP=0x7F
[460000] PC=0x5A1F A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BC8 SP=0x5055 OP=0x38
[470000] PC=0x5907 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BF0 SP=0x5005 OP=0x38
[480000] PC=0x5B73 A=0x9A HL=0x0038 BC=0x7F7F DE=0x5B16 SP=0x4FB5 OP=0xFD
[490000] PC=0x5ACD A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B3E SP=0x4F69 OP=0x38
[500000] PC=0x59B5 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B66 SP=0x4F19 OP=0x38
[510000] PC=0x5BCA A=0x9A HL=0x0038 BC=0x7F7F DE=0x5B8C SP=0x4EC9 OP=0x07
Frame 100: PC: 0x5A29 SCREEN=5 ROM=0 PAGED=7
Screen @4000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[520000] PC=0x5B3E A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BB4 SP=0x4E79 OP=0x7F
[530000] PC=0x5A63 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BDC SP=0x4E2D OP=0x38
[540000] PC=0x594B A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B04 SP=0x4DDD OP=0x38
[550000] PC=0x5B95 A=0x9A HL=0x0038 BC=0x7F7F DE=0x5B2A SP=0x4D8D OP=0xA8
[560000] PC=0x5B09 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B52 SP=0x4D3D OP=0xA8
[570000] PC=0x59F9 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B7A SP=0x4CF1 OP=0x38
[580000] PC=0x5BEC A=0x9A HL=0x0038 BC=0x7F7F DE=0x5BA0 SP=0x4CA1 OP=0x7F
[590000] PC=0x5B60 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BC8 SP=0x4C51 OP=0x7F
[600000] PC=0x5AA7 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5BF0 SP=0x4C05 OP=0x38
[610000] PC=0x598F A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B18 SP=0x4BB5 OP=0x38
[620000] PC=0x5BB7 A=0xE5 HL=0x0038 BC=0x7F7F DE=0x5B3E SP=0x4B65 OP=0xFD
